zipcode,centile,superzip,rank,city,state,adultpop,households,college,income
2533,99.2386,1,127,Wilmette,IL,18124,7640,72.89%,160.5654
2982,99.23294,1,128,Leawood,KS,2465,971,66.65%,170.9177
2306,99.22941,1,129,Bloomfield Hills,MI,10413,4460,68.29%,167.7311
2082,99.22011,1,130,Houston,TX,23477,9133,68.02%,167.6866
2288,99.21332,1,131,Chicago,IL,1273,350,80.60%,145.9438
2389,99.20985,1,132,Saint Louis,MO,11381,4971,67.85%,167.5166
2907,99.20181,1,133,Palos Verdes Peninsula,CA,17933,7617,66.21%,170.2979
2257,99.19572,1,134,Haverford,PA,4241,1422,73.17%,158.2798
2454,99.1918,1,135,Stamford,CT,10066,4222,68.32%,166.3712
2104,99.18901,1,,Birchrunville,PA,62,33,75.81%,153.4351
2576,99.18604,1,136,Greenwich,CT,10758,4109,56.83%,185.2621
2346,99.18039,1,137,Vienna,VA,9842,4085,68.49%,165.1355
2366,99.17561,1,138,Birmingham,AL,7558,3249,74.48%,154.6564
2492,99.17271,1,139,Southport,CT,3002,1164,61.73%,176.5561
2763,99.16934,1,140,Berkeley,CA,9252,2626,76.35%,151.1991
2674,99.16505,1,141,Woodbury,NY,6411,2317,58.01%,182.5436
2094,99.16124,1,142,Saddle River,NJ,7482,3207,60.10%,178.9268
2744,99.15899,1,143,Washington,DC,674,118,68.99%,163.45
2091,99.15588,1,144,Corona del Mar,CA,10728,3493,64.71%,170.4104
2296,99.15217,1,145,Great Neck,NY,2773,1178,67.22%,166.0482
2181,99.14893,1,146,Reston,VA,9042,3437,75.03%,152.3524
2902,99.14643,1,,Montpelier Station,VA,28,14,57.14%,183.064
2531,99.14642,1,,Mooresville,AL,46,17,60.87%,176.6306
2175,99.14211,1,147,Ridgefield,CT,15682,6638,65.88%,167.1361
2812,99.13438,1,148,Chatham,NJ,12420,5073,66.88%,165.3892
2376,99.13068,1,149,Goldens Bridge,NY,1094,455,70.02%,159.4004
2535,99.12652,1,150,New York,NY,14064,2742,73.99%,152.3851
2544,99.12067,1,151,River Forest,IL,7237,2948,69.70%,159.7299
2145,99.10585,1,152,New York,NY,46757,12049,73.83%,152.0177
2078,99.09166,1,153,Easton,CT,4939,2079,59.55%,176.5979
2696,99.09011,1,154,Granite Springs,NY,704,312,71.59%,155.4841
2662,99.08952,1,155,Lookout Mountain,TN,1408,606,71.16%,155.6815
2613,99.08792,1,156,Stanford,CA,4498,1300,94.49%,115.4192
2985,99.08479,1,157,Franklin Lakes,NJ,6885,2952,52.94%,186.8953
2503,99.07948,1,158,Southlake,TX,12412,5892,58.71%,176.8934
2871,99.07595,1,,Mill Neck,NY,480,187,52.08%,187.9767
2855,99.07578,1,,Barrytown,NY,170,11,68.82%,159.0996
2298,99.07565,1,,Pottersville,NJ,260,137,66.92%,162.3686
2096,99.06966,1,159,Mill Valley,CA,21599,7359,71.53%,154.0889
2842,99.06036,1,160,Leawood,KS,12276,5289,67.62%,160.5092
2850,99.05013,1,161,Manhattan Beach,CA,24974,8449,67.61%,160.4229
2670,99.04073,1,162,Clifton,VA,9298,4075,65.43%,162.8694
2535,99.03786,1,163,Alpine,NJ,1129,450,61.38%,169.7984
2645,99.03754,1,,Blakely Island,WA,33,9,81.82%,133.7204
2591,99.03304,1,164,Ridgewood,NJ,16407,6825,66.75%,159.3284
2296,99.02061,1,165,Plano,TX,28861,11991,64.33%,163.2552
2441,99.01231,1,166,Palo Alto,CA,1407,410,79.39%,136.9737
2335,99.0041,1,167,New York,NY,28445,4763,74.39%,145.5058
2549,98.9938,1,168,Germantown,TN,9077,4241,65.81%,160.1039
2671,98.99128,1,,Skytop,PA,93,10,43.01%,199.1972
2840,98.98946,1,169,Rumson,NJ,6554,2560,58.85%,171.9023
2106,98.98427,1,170,Bloomfield Hills,MI,12380,4994,64.81%,161.5095
2176,98.97626,1,171,Lafayette,CA,16806,6806,66.64%,158.2915
2650,98.97039,1,172,Newton Highlands,MA,4538,1861,72.79%,146.6643
2413,98.96333,1,173,Arlington,VA,21227,7606,70.52%,150.4577
2616,98.95721,1,174,Rancho Santa Fe,CA,1044,430,70.59%,149.6836
2806,98.95469,1,175,Baltimore,MD,8128,2461,74.38%,142.9991
2315,98.95244,1,,Surfside,CA,109,44,66.97%,155.6959
2445,98.95096,1,176,Chester,NJ,5264,2157,61.21%,165.5382
2026,98.9418,1,177,Princeton,NJ,28123,10147,71.39%,147.7614
2990,98.92835,1,178,Highland Park,IL,20830,8676,64.02%,160.2503
2466,98.91756,1,179,San Diego,CA,18529,7503,72.96%,144.7709
2886,98.91236,1,,Storrs Mansfield,CT,403,38,84.86%,124.222
2321,98.91203,1,180,Atlanta,GA,838,177,76.37%,138.8305
2125,98.90812,1,181,La Canada Flintridge,CA,13382,5847,63.67%,160.3615
2788,98.9043,1,182,Urbandale,IA,561,255,54.72%,175.6865
2799,98.90118,1,183,Del Mar,CA,10782,3875,71.40%,146.9154
2785,98.89675,1,184,Southborough,MA,5343,2322,64.48%,158.6694
2976,98.88841,1,185,San Jose,CA,25071,10867,60.87%,164.8491
2820,98.87959,1,186,Miami,FL,7062,2701,67.79%,152.7787
2924,98.87765,1,,Stewarts Point,CA,17,7,29.41%,218.4294
2587,98.87546,1,187,Redwood City,CA,7967,2939,66.00%,155.2827
2481,98.87241,1,188,Boxborough,MA,3115,1296,72.13%,144.584
2165,98.86617,1,189,Bethesda,MD,19616,5903,75.42%,138.5311
2048,98.85716,1,190,Needham,MA,13178,5330,68.95%,149.4953
2256,98.8506,1,191,Moraga,CA,10725,4409,67.39%,152.1105
2980,98.84517,1,192,Wayland,MA,9075,3754,68.48%,150.0876
2154,98.84264,1,,Oldwick,NJ,138,63,58.70%,166.9125
2424,98.84206,1,193,Arlington,VA,1943,690,74.11%,140.3029
2990,98.84145,1,,Woody Creek,CO,286,70,65.03%,155.9235
2648,98.8413,1,,Brinklow,MD,255,108,62.75%,159.1611
2852,98.83808,1,194,Lexington,MA,11480,4564,68.78%,148.61
2205,98.83241,1,195,Santa Barbara,CA,9129,3322,63.37%,157.8835
2816,98.82852,1,196,Bernardsville,NJ,5102,2075,59.35%,164.6961
2348,98.82337,1,197,McLean,VA,13684,4711,72.64%,141.7635
2750,98.81625,1,198,Oakland,CA,12280,3694,74.09%,139.2476
2877,98.81033,1,199,Greenbrae,CA,9273,3195,63.42%,157.6233
2249,98.80645,1,200,Glen Ridge,NJ,4846,2042,64.55%,155.148
2333,98.80481,1,201,Dunn Loring,VA,1125,394,63.73%,155.9954
2641,98.8026,1,202,Katonah,NY,6951,2831,58.48%,165.0283
2194,98.79735,1,203,Concord,MA,12102,4451,66.10%,151.7509
2978,98.79404,1,,Fort Harrison,MT,24,6,70.83%,143.4489
2165,98.79387,1,204,Etna,NH,600,255,77.33%,131.6557
2134,98.78767,1,205,Newport Beach,CA,21992,7883,60.52%,160.5602
2908,98.78012,1,206,Austin,TX,5472,2422,69.65%,144.5931
2949,98.77555,1,207,Houston,TX,11213,3334,64.50%,153.4652
2758,98.76967,1,208,Houston,TX,10253,4714,71.24%,141.7608
2298,98.76546,1,209,Boxford,MA,5016,2253,62.82%,156.2464
2543,98.76405,1,,Villa Maria,PA,122,5,18.85%,231.9172
2861,98.76401,1,,Lochgelly,WV,37,12,56.76%,166.4679
2561,98.76075,1,210,Belle Mead,NJ,11833,5331,61.18%,158.8015
2482,98.75327,1,211,Mercer Island,WA,15424,6266,69.10%,144.9213
2228,98.74417,1,212,Palo Alto,CA,17766,6148,72.79%,138.5402
2847,98.73749,1,213,Hastings on Hudson,NY,6600,2522,63.61%,154.2563
2210,98.73258,1,214,Houston,TX,11252,2926,69.53%,143.9118
2169,98.72939,1,,Gwynedd Valley,PA,381,164,73.75%,136.4467
2981,98.72816,1,215,Villa Park,CA,4117,1718,57.69%,163.9417
2277,98.72584,1,216,Miami,FL,4298,1860,60.56%,158.8289
2339,98.71727,1,217,Barrington,IL,26906,11661,59.10%,161.2232
2756,98.70856,1,218,Clarksville,MD,4828,2128,64.17%,152.4086
2513,98.70599,1,219,Hanover,NH,4570,1512,77.64%,129.1817
2305,98.70203,1,220,Lexington,MA,9825,3910,69.34%,143.2489
2561,98.6944,1,221,Deerfield,IL,17995,7509,66.12%,148.6257
2314,98.68814,1,222,Aurora,CO,4746,2184,62.12%,155.4828
2687,98.68657,1,223,Lenexa,KS,1024,460,62.40%,154.068
2127,98.68627,1,,Esopus,NY,15,7,0%,261.5213
2315,98.68438,1,224,Narberth,PA,6883,2571,71.20%,138.6801
2195,98.68105,1,225,Larkspur,CA,5264,1652,66.72%,146.1688
2122,98.675,1,226,Alpharetta,GA,16794,7248,68.91%,142.3506
2775,98.66527,1,227,Brookline,MA,18688,6199,75.25%,131.385
2293,98.65981,1,228,New York,NY,1174,230,70.95%,138.7808
2755,98.65487,1,229,Atlanta,GA,16821,3614,74.12%,133.1673
2620,98.64594,1,230,Summit,NJ,15710,6100,61.73%,154.5021
2454,98.63803,1,231,Acton,MA,13148,5399,69.14%,141.6876
2254,98.6308,1,232,Malibu,CA,13199,4697,59.00%,159.0055
2386,98.62663,1,233,Irvine,CA,1935,804,64.13%,149.8928
2074,98.62337,1,234,Palm Beach,FL,9997,3178,52.48%,169.8115
2373,98.6195,1,235,Topanga,CA,4067,1319,60.98%,154.9362
2934,98.61438,1,236,Birmingham,MI,14583,5119,67.14%,144.257
2265,98.60411,1,237,Danville,CA,22822,9653,58.05%,159.7417
2947,98.59532,1,238,Boston,MA,9223,1570,70.74%,137.7975
2163,98.59038,1,239,Alexandria,VA,8804,3679,67.40%,142.9429
2583,98.5852,1,240,Saint Louis,MO,10017,3022,70.30%,137.9152
2662,98.58232,1,,Amawalk,NY,468,208,58.33%,158.519
2702,98.58216,1,,Still River,MA,127,40,70.08%,138.2264
2688,98.57956,1,241,Warren,NJ,9366,3917,58.25%,158.5648
2054,98.57519,1,242,Minneapolis,MN,6541,2786,70.54%,137.3843
2725,98.56199,1,243,New York,NY,41544,7973,68.79%,140.1747
2030,98.54984,1,244,Bolton,MA,2768,1193,67.30%,142.4852
2050,98.54768,1,245,Irvington,NY,5057,2067,61.24%,152.912
2308,98.54367,1,246,Wynnewood,PA,9569,3694,65.20%,146.0367
2195,98.53667,1,247,Nashville,TN,15933,5449,70.13%,137.4549
2265,98.53004,1,248,Kansas City,MO,8230,3233,75.72%,127.8127
2744,98.52589,1,249,Washington,DC,6882,1006,75.88%,127.5276
2466,98.52341,1,250,Austin,TX,2135,892,63.23%,149.273
2320,98.52002,1,251,Holmdel,NJ,10205,4262,55.68%,162.2627
2601,98.51144,1,252,Herndon,VA,21066,9296,67.32%,142.1793
2217,98.50344,1,253,Jericho,NY,8062,3391,61.21%,152.3942
2040,98.50066,1,254,Highland,MD,2028,821,55.18%,162.6968
2909,98.50002,1,,Washington Grove,MD,343,141,76.09%,126.3979
2002,98.49956,1,255,Terrace Park,OH,1403,648,70.71%,135.6727
2340,98.49787,1,256,South Salem,NY,4673,2057,62.40%,149.7411
2871,98.49564,1,257,Dresher,PA,3492,1538,67.70%,140.3395
2119,98.48898,1,258,Wayne,PA,20784,7760,68.75%,138.1872
2896,98.48254,1,259,West Simsbury,CT,2676,1236,65.81%,143.1573
2842,98.48149,1,260,Gladstone,NJ,1115,466,59.73%,153.4442
2482,98.48111,1,,Village of Nagog Woods,MA,302,117,76.82%,123.9108
2592,98.47913,1,261,Novi,MI,6915,3225,58.96%,154.5636
2195,98.4765,1,262,Washington Crossing,PA,2654,1138,64.47%,145.0246
2331,98.4735,1,263,Western Springs,IL,8312,3724,65.94%,142.3545
2973,98.46716,1,264,Winchester,MA,14800,5831,64.91%,144.1315
2080,98.46217,1,265,Ardsley,NY,3313,1392,59.70%,153.086
2675,98.45978,1,266,Devon,PA,5432,1853,71.69%,132.4324
2727,98.4537,1,267,Englewood,CO,16688,7068,67.90%,138.7808
2593,98.44569,1,268,Colleyville,TX,12535,5831,56.23%,158.5844
2658,98.44061,1,269,Savannah,GA,5950,2709,67.11%,139.602
2621,98.43779,1,270,Allendale,NJ,4359,1783,62.31%,147.7549
2853,98.4328,1,271,Bryn Mawr,PA,13772,4756,63.81%,145.0861
2558,98.42848,1,272,Millington,NJ,1975,836,58.94%,153.4835
2623,98.42561,1,273,Spring,TX,8520,3973,65.16%,142.65
2552,98.42044,1,274,Franklin,MI,10294,4187,64.80%,142.9377
2046,98.41544,1,275,Pleasantville,NY,7898,3236,59.79%,151.3233
2799,98.40967,1,276,Plano,TX,13147,5265,66.65%,139.4608
2854,98.39587,1,277,Cupertino,CA,37092,14705,65.03%,142.242
2931,98.38433,1,278,Lincolnshire,IL,4974,2088,57.60%,154.9336
2976,98.38225,1,279,Martinsville,NJ,2650,1156,55.62%,157.6939
2775,98.38146,1,,Elkins,NH,175,69,72.57%,128.4665
2514,98.37722,1,280,Hermosa Beach,CA,15300,3666,67.61%,136.8416
2806,98.37129,1,281,Minneapolis,MN,6307,2671,66.58%,138.5991
2230,98.36923,1,282,Hoffman Estates,IL,1177,487,57.26%,154.6302
2313,98.3689,1,,Mount Hermon,CA,43,19,86.05%,104.9127
2396,98.36279,1,283,Westfield,NJ,22217,9097,61.93%,146.3662
2189,98.35509,1,284,Great Neck,NY,5835,2407,62.06%,146.1204
2311,98.34581,1,285,Oakland,CA,27962,8935,66.81%,137.906
2971,98.33481,1,286,West Bloomfield,MI,12129,5236,58.12%,152.8493
2768,98.33145,1,,Wilberforce,OH,123,51,82.11%,111.3461
2343,98.33035,1,287,Overland Park,KS,3816,1783,66.90%,137.5294
2299,98.3243,1,288,Naperville,IL,18258,8483,62.17%,145.5973
2462,98.317,1,289,Pasadena,CA,8304,2702,63.23%,143.7196
2451,98.31201,1,290,Encino,CA,9912,3942,56.77%,154.6315
2632,98.30677,1,291,Tenafly,NJ,9173,3881,62.15%,145.1815
2823,98.30222,1,292,Key Biscayne,FL,7448,2943,64.90%,140.3356
2810,98.29675,1,293,Chagrin Falls,OH,12439,5156,63.78%,142.259
2444,98.28738,1,294,Brookline,MA,21701,5839,78.25%,117.157
2992,98.27987,1,295,Redding,CT,5655,2416,63.09%,143.2424
2987,98.27714,1,296,Huntington Woods,MI,4328,1816,72.37%,127.1066
2926,98.27521,1,297,Austin,TX,2710,1082,65.20%,139.4307
2234,98.27005,1,298,Randolph,NJ,16078,6741,59.06%,149.9438
2550,98.26258,1,299,Wyckoff,NJ,11122,4656,56.63%,154.119
2338,98.25826,1,300,Great Neck,NY,4608,1841,52.11%,161.8469
2469,98.25678,1,301,Waterford,VA,751,330,53.13%,160.0555
2094,98.25553,1,302,Pebble Beach,CA,3823,1472,60.61%,147.0122
2879,98.24994,1,303,Overland Park,KS,16535,6939,66.86%,136.1643
2876,98.24416,1,304,Elm Grove,WI,4502,1829,64.88%,139.4961
2104,98.23888,1,305,Rochester,MI,14786,6649,59.04%,149.3763
2549,98.23312,1,306,Woodbridge,CT,6139,2633,60.89%,146.0968
2818,98.22934,1,307,Glen Rock,NJ,7714,3315,61.08%,145.5097
2322,98.22585,1,308,Fort Wayne,IN,4967,2284,56.51%,153.2847
2871,98.2205,1,309,Boston,MA,14520,3085,69.63%,130.5678
2159,98.21427,1,310,Houston,TX,8193,2515,75.70%,120.0573
2196,98.21201,1,,Cherryville,PA,47,21,74.47%,122.0409
2277,98.20721,1,311,Austin,TX,17444,5967,71.15%,127.6714
2004,98.20007,1,312,Flower Mound,TX,8552,3895,58.34%,149.6352
2098,98.1961,1,313,Chestnut Hill,MA,5916,2090,73.44%,123.5944
2975,98.19218,1,314,Roslyn Heights,NY,8349,3396,57.52%,150.9925
2436,98.18887,1,315,Fair Haven,NJ,3747,1651,61.76%,143.5222
2341,98.1858,1,316,Prospect,KY,7391,3248,61.72%,143.4607
2379,98.18333,1,317,San Antonio,TX,1632,704,44.55%,173.0452
2775,98.18264,1,318,Cumberland Foreside,ME,856,386,62.62%,141.8236
2952,98.18027,1,319,Berwyn,PA,7785,3136,61.36%,143.9445
2514,98.17231,1,320,New York,NY,21221,4819,71.23%,126.9
2184,98.16338,1,321,Avon,CT,11327,4509,62.02%,142.6879
2128,98.15937,1,322,Demarest,NJ,3251,1393,58.94%,147.9471
2060,98.15637,1,323,Medfield,MA,7702,3316,62.10%,142.4316
2226,98.1536,1,324,Ashburn,VA,2347,1067,60.84%,144.5395
2602,98.14874,1,325,Farmington,MI,15442,6426,61.85%,142.7703
2251,98.13351,1,326,New York,NY,39951,6704,68.57%,130.9993
2781,98.12177,1,327,San Diego,CA,2880,987,71.63%,125.3374
2389,98.11541,1,328,Alexandria,VA,20298,5413,68.05%,131.4478
2298,98.10563,1,329,Hudson,OH,15311,6871,63.99%,138.3807
2198,98.09846,1,330,Bellaire,TX,10780,4343,65.94%,134.8515
2799,98.09463,1,331,South Glastonbury,CT,3219,1344,60.73%,143.7523
2535,98.09095,1,332,Richardson,TX,10176,4382,63.35%,139.1391
2515,98.08147,1,333,Hinsdale,IL,24371,10135,57.13%,149.83
2622,98.07278,1,334,Philadelphia,PA,7309,1607,73.84%,121.0027
2482,98.06577,1,335,Carmel,IN,18231,8498,64.13%,137.6942
